case_id,filename,why_selected,quality_rating
all,"Croppedmicrograph1.png",all_images_user_approved,5
all,"Croppedmicrograph10.png",all_images_user_approved,5
all,"Croppedmicrograph1001.png",all_images_user_approved,5
all,"Croppedmicrograph1003.png",all_images_user_approved,5
all,"Croppedmicrograph1005.png",all_images_user_approved,5
all,"Croppedmicrograph1006.png",all_images_user_approved,5
all,"Croppedmicrograph1008.png",all_images_user_approved,5
all,"Croppedmicrograph1009.png",all_images_user_approved,5
all,"Croppedmicrograph1010.png",all_images_user_approved,5
all,"Croppedmicrograph1011.png",all_images_user_approved,5
all,"Croppedmicrograph1012.png",all_images_user_approved,5
all,"Croppedmicrograph1013.png",all_images_user_approved,5
all,"Croppedmicrograph1015.png",all_images_user_approved,5
all,"Croppedmicrograph1017.png",all_images_user_approved,5
all,"Croppedmicrograph1018.png",all_images_user_approved,5
all,"Croppedmicrograph1019.png",all_images_user_approved,5
all,"Croppedmicrograph1020.png",all_images_user_approved,5
all,"Croppedmicrograph1022.png",all_images_user_approved,5
all,"Croppedmicrograph1023.png",all_images_user_approved,5
all,"Croppedmicrograph1025.png",all_images_user_approved,5
all,"Croppedmicrograph1026.png",all_images_user_approved,5
all,"Croppedmicrograph1027.png",all_images_user_approved,5
all,"Croppedmicrograph1028.png",all_images_user_approved,5
all,"Croppedmicrograph1030.png",all_images_user_approved,5
all,"Croppedmicrograph1031.png",all_images_user_approved,5
all,"Croppedmicrograph1032.png",all_images_user_approved,5
all,"Croppedmicrograph1033.png",all_images_user_approved,5
all,"Croppedmicrograph1035.png",all_images_user_approved,5
all,"Croppedmicrograph1038.png",all_images_user_approved,5
all,"Croppedmicrograph1039.png",all_images_user_approved,5
all,"Croppedmicrograph104.png",all_images_user_approved,5
all,"Croppedmicrograph1040.png",all_images_user_approved,5
all,"Croppedmicrograph1045.png",all_images_user_approved,5
all,"Croppedmicrograph1046.png",all_images_user_approved,5
all,"Croppedmicrograph1048.png",all_images_user_approved,5
all,"Croppedmicrograph1049.png",all_images_user_approved,5
all,"Croppedmicrograph1052.png",all_images_user_approved,5
all,"Croppedmicrograph1053.png",all_images_user_approved,5
all,"Croppedmicrograph1054.png",all_images_user_approved,5
all,"Croppedmicrograph1055.png",all_images_user_approved,5
all,"Croppedmicrograph1056.png",all_images_user_approved,5
all,"Croppedmicrograph1057.png",all_images_user_approved,5
all,"Croppedmicrograph1058.png",all_images_user_approved,5
all,"Croppedmicrograph1059.png",all_images_user_approved,5
all,"Croppedmicrograph106.png",all_images_user_approved,5
all,"Croppedmicrograph1061.png",all_images_user_approved,5
